kho,,,"Khotanese; Sakan","khotanais; sakan",ltr
kik,,ki,"Kikuyu; Gikuyu",kikuyu,ltr
kin,,rw,Kinyarwanda,rwanda,ltr
kir,,ky,"Kirghiz; Kyrgyz",kirghiz,ltr
kmb,,,Kimbundu,kimbundu,ltr
kok,,,Konkani,konkani,ltr
kom,,kv,Komi,kom,ltr
kon,,kg,Kongo,kongo,ltr
kor,,ko,Korean,coréen,ttb
kos,,,Kosraean,kosrae,ltr
kpe,,,Kpelle,kpellé,ltr
krc,,,Karachay-Balkar,"karatchai balkar",ltr
krl,,,Karelian,carélien,ltr
kro,,,"Kru languages","krou, langues",ltr
kru,,,Kurukh,kurukh,ltr
kua,,kj,"Kuanyama; Kwanyama","kuanyama; kwanyama",ltr
kum,,,Kumyk,koumyk,ltr
kur,,ku,Kurdish,kurde,rtl
kut,,,Kutenai,kutenai,ltr
lad,,,Ladino,judéo-espagnol,ltr
lah,,,Lahnda,lahnda,ltr
lam,,,Lamba,lamba,ltr
lao,,lo,Lao,lao,ltr
lat,,la,Latin,latin,ltr
lav,,lv,Latvian,letton,ltr
lez,,,Lezghian,lezghien,ltr
lim,,li,"Limburgan; Limburger; Limburgish",limbourgeois,ltr
lin,,ln,Lingala,lingala,ltr
lit,,lt,Lithuanian,lituanien,ltr
lol,,,Mongo,mongo,ltr
loz,,,Lozi,lozi,ltr
ltz,,lb,"Luxembourgish; Letzeburgesch",luxembourgeois,ltr
lua,,,Luba-Lulua,luba-lulua,ltr
lub,,lu,Luba-Katanga,luba-katanga,ltr
lug,,lg,Ganda,ganda,ltr
lui,,,Luiseno,luiseno,ltr
lun,,,Lunda,lunda,ltr
luo,,,"Luo (Kenya and Tanzania)","luo (Kenya et Tanzanie)",ltr
lus,,,Lushai,lushai,ltr
mac,mkd,mk,Macedonian,macédonien,ltr
mad,,,Madurese,madourais,ltr
mag,,,Magahi,magahi,ltr
mah,,mh,Marshallese,marshall,ltr
mai,,,Maithili,maithili,ltr
mak,,,Makasar,makassar,ltr
mal,,ml,Malayalam,malayalam,ltr
man,,,Mandingo,mandingue,rtl
mao,mri,mi,Maori,maori,ltr
map,,,"Austronesian languages","austronésiennes, langues",ltr
mar,,mr,Marathi,marathe,ltr
mas,,,Masai,massaï,ltr
may,msa,ms,Malay,malais,ltr
mdf,,,Moksha,moksa,ltr
mdr,,,Mandar,mandar,ltr
men,,,Mende,mendé,rtl
mga,,,"Irish, Middle (900-1200)","irlandais moyen (900-1200)",ltr
mic,,,"Mi'kmaq; Micmac","mi'kmaq; micmac",ltr
min,,,Minangkabau,minangkabau,ltr
mis,,,"Uncoded languages","langues non codées",ltr
mkh,,,"Mon-Khmer languages","môn-khmer, langues",ltr
mlg,,mg,Malagasy,malgache,ltr
mlt,,mt,Maltese,maltais,ltr
mnc,,,Manchu,mandchou,ltr
mni,,,Manipuri,manipuri,ltr
mno,,,"Manobo languages","manobo, langues",ltr
moh,,,Mohawk,mohawk,ltr
mon,,mn,Mongolian,mongol,ttb
mos,,,Mossi,moré,ltr
mul,,,"Multiple languages",multilingue,ltr
mun,,,"Munda languages","mounda, langues",ltr
mus,,,Creek,muskogee,ltr
mwl,,,Mirandese,mirandais,ltr
mwr,,,Marwari,marvari,ltr
myn,,,"Mayan languages","maya, langues",ltr
myv,,,Erzya,erza,ltr
nah,,,"Nahuatl languages","nahuatl, langues",ltr
nai,,,"North American Indian languages","nord-amérindiennes, langues",ltr
nap,,,Neapolitan,napolitain,ltr
nau,,na,Nauru,nauruan,ltr
nav,,nv,"Navajo; Navaho",navaho,ltr
nbl,,nr,"Ndebele, South; South Ndebele","ndébélé du Sud",ltr
nde,,nd,"Ndebele, North; North Ndebele","ndébélé du Nord",ltr
ndo,,ng,Ndonga,ndonga,ltr
nds,,,"Low German; Low Saxon; German, Low; Saxon, Low","bas allemand; bas saxon; allemand, bas; saxon, bas",ltr
nep,,ne,Nepali,népalais,ltr
new,,,"Nepal Bhasa; Newari","nepal bhasa; newari",ltr
nia,,,Nias,nias,ltr
nic,,,"Niger-Kordofanian languages","nigéro-kordofaniennes, langues",ltr
niu,,,Niuean,niué,ltr
